Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,FT,FTA,FT%,TRB,AST,PF,PTS,HoF
Jerome Whitehead,31.0,4.9,0.48,1.1,0.44,0.48,1.1,0.44,0.26,0.58,0.44,1.61,0.23,0.94,1.23,No
Jerry Baskerville,21.0,5.0,0.38,1.24,0.31,0.38,1.24,0.31,0.48,0.76,0.62,1.33,0.14,1.52,1.24,No
Jerry Bird,11.0,4.09,1.09,2.91,0.37,1.09,2.91,0.37,0.09,0.09,1.0,1.09,0.36,0.64,2.27,No
Jerry Chambers,239.0,15.44,3.44,7.78,0.44,3.44,7.78,0.44,1.2,1.61,0.75,3.09,0.76,1.94,8.08,No
Jerry Fleishman,98.0,9.0,2.06,6.69,0.31,2.06,6.69,0.31,1.93,2.97,0.65,1.55,2.31,2.52,6.05,No
Jerry Fowler,6.0,6.83,0.67,2.17,0.31,0.67,2.17,0.31,0.17,0.67,0.25,1.67,0.33,1.5,1.5,No
Jerry Greenspan,25.0,13.16,1.6,4.12,0.39,1.6,4.12,0.39,1.68,2.32,0.72,3.32,0.44,2.64,4.88,No
Jerry Grote,11.0,3.0,0.55,1.0,0.55,0.55,1.0,0.55,0.18,0.18,1.0,0.36,0.36,0.45,1.27,No
Jerry Harkness,5.0,11.8,2.6,6.0,0.43,2.6,6.0,0.43,0.6,1.6,0.37,1.2,1.2,0.8,5.8,No
Jerry Lucas,896.0,38.56,6.82,13.66,0.5,6.82,13.66,0.5,3.16,4.04,0.78,15.51,3.24,2.85,16.81,Yes
Jerry Nagel,14.0,0.0,0.43,2.0,0.21,0.43,2.0,0.21,0.07,0.29,0.25,0.0,1.29,0.79,0.93,No
Jerry Paulson,6.0,11.33,1.33,3.83,0.35,1.33,3.83,0.35,0.67,1.0,0.67,1.67,0.67,0.83,3.33,No
Jerry Rullo,4.0,0.0,0.75,2.25,0.33,0.75,2.25,0.33,0.25,0.25,1.0,0.0,0.5,0.5,1.75,No
Jerry Sloan,755.0,34.11,5.45,12.78,0.43,5.45,12.78,0.43,3.1,4.29,0.72,7.44,2.55,3.58,14.0,Yes
Jerry West,932.0,39.24,9.67,20.42,0.47,9.67,20.42,0.47,7.68,9.44,0.81,5.76,6.69,2.61,27.03,Yes
Jesse Arnelle,31.0,13.19,1.68,5.29,0.32,1.68,5.29,0.32,1.39,2.23,0.62,5.48,0.58,1.94,4.74,No
Jesse Branson,5.0,2.8,0.2,1.2,0.17,0.2,1.2,0.17,0.6,0.8,0.75,1.8,0.2,0.8,1.0,No
Jesse Dark,47.0,8.53,1.57,3.34,0.47,1.57,3.34,0.47,0.47,0.85,0.55,0.79,0.64,1.02,3.62,No
Jim Ard,233.0,11.98,1.32,3.64,0.36,1.32,3.64,0.36,0.75,1.08,0.69,3.67,0.67,1.73,3.39,No
Jim Baechtold,321.0,25.72,3.48,8.96,0.39,3.48,8.96,0.39,2.77,3.54,0.78,3.14,2.13,2.48,9.73,No
Jim Barnes,665.0,20.72,3.36,7.8,0.43,3.36,7.8,0.43,1.99,2.9,0.68,6.52,0.83,3.25,8.7,No
Jim Barnett,805.0,23.83,4.49,10.3,0.44,4.49,10.3,0.44,2.59,3.23,0.8,3.03,2.99,2.15,11.56,No
Jim Bostic,4.0,12.0,3.0,5.5,0.55,3.0,5.5,0.55,0.5,1.25,0.4,4.0,0.75,1.25,6.5,No
Jim Brasco,40.0,12.4,1.25,4.7,0.27,1.25,4.7,0.27,1.35,1.7,0.79,1.2,1.05,1.5,3.85,No
Jim Brewer,567.0,25.5,2.92,6.61,0.44,2.92,6.61,0.44,0.91,1.59,0.58,7.29,1.68,2.29,6.75,No
Jim Browne,31.0,0.0,0.55,1.55,0.35,0.55,1.55,0.35,0.42,0.87,0.48,0.0,0.26,0.52,1.52,No
Jim Burns,3.0,3.67,0.67,2.33,0.29,0.67,2.33,0.29,0.0,0.0,0.0,0.67,0.33,0.33,1.33,No
Jim Caldwell,2.0,3.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,No
Jim Chones,400.0,33.26,6.14,13.33,0.46,6.14,13.33,0.46,2.04,2.9,0.7,9.48,1.78,3.15,14.32,No
Jim Cleamons,573.0,26.54,3.54,7.71,0.46,3.54,7.71,0.46,1.46,1.9,0.77,3.19,3.91,1.93,8.54,No
Jim Creighton,32.0,5.38,0.38,1.34,0.28,0.38,1.34,0.28,0.22,0.5,0.44,1.41,0.12,0.72,0.97,No
Jim Davis,672.0,16.38,2.48,5.4,0.46,2.48,5.4,0.46,1.58,2.35,0.67,5.04,1.18,2.38,6.53,No
Jim Eakins,148.0,14.53,1.61,3.43,0.47,1.61,3.43,0.47,1.95,2.31,0.84,3.45,1.2,2.28,5.18,No
Jim Fox,955.0,23.51,3.51,7.41,0.47,3.51,7.41,0.47,2.31,3.05,0.76,7.63,1.55,2.75,9.32,No
Jim Fritsche,152.0,17.06,1.63,5.3,0.31,1.63,5.3,0.31,0.73,1.0,0.73,3.07,0.99,1.54,3.99,No
Jim Garvin,6.0,1.83,0.17,0.67,0.25,0.17,0.67,0.25,0.0,0.0,0.0,0.83,0.0,0.17,0.33,No
Jim Holstein,225.0,15.45,1.41,4.36,0.32,1.41,4.36,0.32,1.0,1.55,0.65,2.93,1.11,1.89,3.82,No
Jim King,641.0,18.06,2.73,6.55,0.42,2.73,6.55,0.42,1.58,2.01,0.78,2.44,2.28,1.97,7.05,No
Jim Krebs,515.0,20.7,3.29,8.13,0.4,3.29,8.13,0.4,1.43,1.89,0.75,6.17,0.83,2.99,8.02,No
Jim Loscutoff,511.0,18.46,2.61,7.57,0.34,2.61,7.57,0.34,0.96,1.47,0.65,5.57,0.69,2.93,6.18,No
Jim Luisi,31.0,11.84,1.0,3.06,0.33,1.0,3.06,0.33,0.87,1.32,0.66,0.81,1.13,1.45,2.87,No
Jim Marsh,39.0,9.62,1.0,3.0,0.33,1.0,3.0,0.33,1.05,1.51,0.69,2.15,0.77,1.28,3.05,No
Jim McDaniels,184.0,14.7,2.22,5.53,0.4,2.22,5.53,0.4,0.81,1.15,0.7,4.4,0.92,1.99,5.26,No
Jim McElroy,277.0,27.51,4.61,9.53,0.48,4.61,9.53,0.48,2.28,3.01,0.76,2.37,4.01,1.74,11.51,No
Jim McMillian,631.0,32.06,5.77,11.98,0.48,5.77,11.98,0.48,2.29,2.76,0.83,5.26,2.47,1.9,13.84,No
Jim Mooney,18.0,29.39,3.0,8.22,0.36,3.0,8.22,0.36,1.5,2.22,0.68,3.89,1.94,2.78,7.5,No
Jim Neal,80.0,13.66,1.61,5.35,0.3,1.61,5.35,0.3,1.15,1.91,0.6,3.8,0.41,2.01,4.38,No
Jim Nolan,5.0,0.0,0.8,4.2,0.19,0.8,4.2,0.19,0.0,0.0,0.0,0.0,0.8,2.8,1.6,No
Jim Owens,58.0,9.19,1.33,3.17,0.42,1.33,3.17,0.42,0.4,0.52,0.77,0.9,1.1,0.57,3.05,No
Jim Palmer,270.0,19.54,3.23,7.74,0.42,3.23,7.74,0.42,1.7,2.44,0.7,5.29,0.87,2.91,8.17,No
Jim Paxson,138.0,22.24,2.63,8.14,0.32,2.63,8.14,0.32,2.75,3.78,0.73,4.46,1.63,2.51,8.01,No
Jim Pollard,385.0,24.39,5.16,14.51,0.36,5.16,14.51,0.36,2.62,3.44,0.76,6.46,3.31,2.6,12.93,Yes
Jim Price,724.0,25.47,4.13,9.31,0.44,4.13,9.31,0.44,1.68,2.05,0.82,3.11,3.72,2.76,9.95,No
Jim Ray,8.0,8.0,0.38,2.12,0.18,0.38,2.12,0.18,0.38,0.62,0.6,0.62,0.62,0.88,1.12,No
Jim Reid,6.0,8.67,1.67,3.33,0.5,1.67,3.33,0.5,0.17,0.83,0.2,1.83,0.5,1.0,3.5,No
Jim Riffey,35.0,0.0,1.86,5.29,0.35,1.86,5.29,0.35,0.57,0.74,0.77,1.74,0.46,1.54,4.29,No
Jim Seminoff,65.0,0.0,1.31,4.35,0.3,1.31,4.35,0.3,2.18,2.89,0.76,0.0,3.83,2.37,4.8,No
Jim Slaughter,28.0,18.75,1.89,5.89,0.32,1.89,5.89,0.32,1.46,2.43,0.6,5.29,0.89,2.89,5.25,No
Jim Tucker,99.0,13.14,1.59,4.55,0.35,1.59,4.55,0.35,0.94,1.23,0.76,3.53,0.53,2.44,4.11,No
Jim Walsh,10.0,7.2,0.5,2.7,0.19,0.5,2.7,0.19,1.0,1.7,0.59,1.5,0.8,0.9,2.0,No
Jim Ware,63.0,6.81,0.87,3.08,0.28,0.87,3.08,0.28,0.52,0.81,0.65,2.32,0.21,1.0,2.27,No
Jim Washington,938.0,29.01,4.09,9.11,0.45,4.09,9.11,0.45,2.11,2.96,0.71,8.28,1.45,2.9,10.29,No
Jimmy Collins,74.0,8.27,1.59,3.85,0.41,1.59,3.85,0.41,0.61,0.76,0.8,0.89,0.95,0.73,3.8,No
Jimmy Darden,26.0,0.0,3.0,9.35,0.32,3.0,9.35,0.32,2.12,3.08,0.69,0.0,2.58,2.58,8.12,No
Jimmy Darrow,5.0,6.8,0.6,3.0,0.2,0.6,3.0,0.2,1.2,1.4,0.86,1.4,1.2,1.8,2.4,No
Jimmy Jones,140.0,18.5,2.59,5.12,0.5,2.59,5.12,0.5,1.26,1.71,0.74,1.94,2.02,2.29,6.44,No
Jimmy Walker,773.0,34.34,6.73,14.59,0.46,6.73,14.59,0.46,3.47,4.19,0.83,2.67,3.54,2.46,16.94,No
Jo Jo White,822.0,36.49,7.54,17.04,0.44,7.54,17.04,0.44,2.54,3.04,0.84,4.07,5.07,2.46,17.63,Yes
Joby Wright,77.0,12.09,1.73,3.61,0.48,1.73,3.61,0.48,0.48,1.16,0.42,2.83,0.47,2.13,3.94,No
Joe Bradley,46.0,0.0,0.78,2.91,0.27,0.78,2.91,0.27,0.33,0.83,0.39,0.0,0.78,1.11,1.89,No
Joe Bryant,287.0,14.34,2.56,5.94,0.43,2.56,5.94,0.43,1.32,1.85,0.71,3.25,1.19,2.11,6.44,No
Joe Buckhalter,65.0,11.38,2.35,5.22,0.45,2.35,5.22,0.45,1.06,1.69,0.63,4.08,0.66,1.91,5.77,No
Joe Caldwell,547.0,28.76,6.16,13.5,0.46,6.16,13.5,0.46,2.54,3.95,0.64,5.12,2.53,2.74,14.86,No
Joe Cooke,73.0,9.93,1.84,4.67,0.39,1.84,4.67,0.39,0.66,0.81,0.81,1.56,1.27,1.85,4.33,No
Joe Dolhon,77.0,0.0,2.08,6.68,0.31,2.08,6.68,0.31,2.26,3.08,0.73,0.23,2.26,2.92,6.42,No
Joe Ellis,524.0,19.8,3.71,9.32,0.4,3.71,9.32,0.4,1.4,1.92,0.73,5.13,1.37,2.67,8.82,No
Joe Fulks,326.0,13.77,4.58,14.83,0.31,4.58,14.83,0.31,3.43,4.44,0.77,4.23,1.42,3.53,12.59,Yes
Joe Graboski,838.0,27.43,4.09,11.62,0.35,4.09,11.62,0.35,2.89,4.1,0.7,7.28,1.79,3.04,11.07,No
Joe Hassett,103.0,8.42,1.85,4.04,0.46,1.85,4.04,0.46,0.32,0.34,0.94,0.79,0.81,1.0,4.03,No
Joe Holland,186.0,3.96,2.33,7.05,0.33,2.33,7.05,0.33,1.16,1.87,0.62,2.74,1.76,2.89,5.83,No
Joe Holup,245.0,17.41,2.25,6.62,0.34,2.25,6.62,0.34,2.03,2.62,0.78,4.38,0.93,2.51,6.53,No
Joe Hutton,120.0,6.02,0.93,2.82,0.33,0.93,2.82,0.33,0.65,0.94,0.69,1.56,0.96,1.66,2.52,No
Joe Kennedy,86.0,15.38,2.06,5.52,0.37,2.06,5.52,0.37,1.16,1.47,0.79,3.03,0.78,1.92,5.28,No
Joe McNamee,176.0,3.95,1.05,2.21,0.47,1.05,2.21,0.47,0.49,0.81,0.61,1.35,0.33,1.73,2.59,No
Joe Meriweather,363.0,24.17,3.68,7.44,0.49,3.68,7.44,0.49,1.86,2.76,0.67,6.34,1.05,3.57,9.21,No
Joe Mullaney,37.0,0.0,0.24,1.89,0.13,0.24,1.89,0.13,0.32,0.41,0.8,0.0,1.41,0.81,0.81,No
Joe Pace,79.0,7.05,1.15,2.47,0.47,1.15,2.47,0.47,0.92,1.54,0.6,2.13,0.34,1.46,3.23,No
Joe Reaves,7.0,5.43,0.86,1.57,0.55,0.86,1.57,0.55,0.57,1.57,0.36,1.14,0.14,0.86,2.29,No
Joe Roberts,181.0,16.07,2.46,6.44,0.38,2.46,6.44,0.38,1.25,1.93,0.65,5.17,0.6,2.33,6.18,No
Joe Ruklick,114.0,7.97,1.54,4.22,0.37,1.54,4.22,0.37,0.4,0.66,0.61,2.51,0.42,1.44,3.49,No
Joe Smyth,80.0,12.38,1.2,3.45,0.35,1.2,3.45,0.35,0.88,1.62,0.54,2.45,1.23,1.32,3.28,No
Joe Strawder,231.0,27.55,3.19,7.48,0.43,3.19,7.48,0.43,2.18,3.17,0.69,9.94,1.06,4.16,8.56,No
Joe Thomas,39.0,5.23,0.59,2.21,0.27,0.59,2.21,0.27,0.23,0.51,0.45,1.1,0.44,0.49,1.41,No
Joel Kramer,82.0,17.09,2.21,4.51,0.49,2.21,4.51,0.49,1.52,2.15,0.71,4.11,1.12,2.73,5.94,No
John Arthurs,11.0,7.82,1.09,3.18,0.34,1.09,3.18,0.34,1.0,1.36,0.73,1.27,1.55,1.36,3.18,No
John Barber,5.0,3.8,0.4,1.6,0.25,0.4,1.6,0.25,0.6,1.2,0.5,1.2,0.0,0.8,1.4,No
John Barnhill,502.0,23.25,3.45,8.34,0.41,3.45,8.34,0.41,1.56,2.41,0.65,2.78,2.79,1.76,8.46,No
John Block,724.0,23.89,4.34,9.97,0.44,4.34,9.97,0.44,3.23,4.13,0.78,6.57,1.34,2.9,11.91,No
John Brisker,126.0,20.84,4.68,10.68,0.44,4.68,10.68,0.44,2.52,3.06,0.83,3.95,1.79,2.16,11.89,No
John Brown,454.0,21.42,2.89,6.33,0.46,2.89,6.33,0.46,1.94,2.48,0.78,4.53,1.51,3.04,7.71,No
John Chaney,32.0,0.0,1.56,5.38,0.29,1.56,5.38,0.29,1.25,1.81,0.69,0.0,1.25,1.44,4.38,No
John Drew,378.0,31.59,8.06,17.0,0.47,8.06,17.0,0.47,5.87,8.01,0.73,8.48,1.8,3.67,21.98,No
John Fairchild,30.0,5.7,0.77,2.97,0.26,0.77,2.97,0.26,0.47,0.67,0.7,1.5,0.37,1.1,2.0,No
John Gianelli,600.0,25.46,3.39,7.23,0.47,3.39,7.23,0.47,1.16,1.64,0.71,6.0,1.5,2.36,7.93,No
John Hargis,118.0,0.0,2.7,6.81,0.4,2.7,6.81,0.4,2.13,3.06,0.7,1.12,1.29,2.42,7.53,No
John Havlicek,1270.0,36.59,8.28,18.84,0.44,8.28,18.84,0.44,4.23,5.19,0.81,6.3,4.81,2.58,20.78,Yes
John Hummer,380.0,22.47,2.68,6.06,0.44,2.68,6.06,0.44,1.47,2.83,0.52,5.31,1.71,2.68,6.83,No
John Johnson,847.0,28.52,5.27,11.91,0.44,5.27,11.91,0.44,2.31,2.99,0.77,5.45,3.48,2.91,12.84,No
John Kuester,111.0,12.86,1.45,3.34,0.43,1.45,3.34,0.43,0.9,1.07,0.84,1.14,2.6,1.55,3.8,No
John Lambert,263.0,11.38,1.54,3.54,0.44,1.54,3.54,0.44,0.43,0.67,0.64,3.31,0.49,1.75,3.51,No
John Laskowski,118.0,18.07,3.04,7.64,0.4,3.04,7.64,0.4,0.97,1.27,0.76,2.39,0.84,0.95,7.05,No
John Logan,92.0,0.0,3.64,11.17,0.33,3.64,11.17,0.33,3.43,4.42,0.78,1.46,3.9,3.0,10.72,No
John Long,82.0,30.46,7.09,15.12,0.47,7.09,15.12,0.47,1.91,2.32,0.83,3.24,1.48,2.73,16.09,No
John Lucas,246.0,34.79,5.41,11.82,0.46,5.41,11.82,0.46,2.41,3.02,0.8,2.93,8.1,2.48,13.22,No
John Mahnken,369.0,3.66,1.73,5.88,0.29,1.73,5.88,0.29,0.84,1.27,0.66,2.04,1.38,2.69,4.31,No
John Mandic,50.0,0.0,0.88,3.0,0.29,0.88,3.0,0.29,0.88,1.28,0.69,0.0,0.32,2.16,2.64,No
John McConathy,11.0,9.64,0.36,2.64,0.14,0.36,2.64,0.14,0.55,1.27,0.43,1.82,0.73,0.64,1.27,No
John Mengelt,677.0,20.73,3.91,8.17,0.48,3.91,8.17,0.48,2.17,2.69,0.81,2.04,2.13,2.04,9.99,No
John O'Boyle,5.0,19.4,1.6,5.2,0.31,1.6,5.2,0.31,1.0,1.4,0.71,2.0,1.0,4.0,4.2,No
John Oldham,127.0,0.0,2.57,8.06,0.32,2.57,8.06,0.32,2.16,3.44,0.63,1.91,1.78,3.42,7.29,No
John Olive,34.0,5.56,0.38,1.18,0.32,0.38,1.18,0.32,0.53,0.68,0.78,0.56,0.09,0.94,1.29,No
John Pilch,9.0,4.56,0.11,1.11,0.1,0.11,1.11,0.1,0.33,0.67,0.5,1.0,0.22,1.11,0.56,No
John Pritchard,7.0,0.0,1.29,4.14,0.31,1.29,4.14,0.31,0.57,1.57,0.36,0.0,1.14,2.0,3.14,No
John Rennicke,6.0,9.0,0.67,3.0,0.22,0.67,3.0,0.22,0.5,1.5,0.33,1.5,0.17,1.17,1.83,No
John Richter,66.0,12.24,1.71,5.03,0.34,1.71,5.03,0.34,0.89,1.77,0.5,4.73,0.41,2.39,4.32,No
John Roche,15.0,3.47,0.2,0.93,0.21,0.2,0.93,0.21,0.13,0.27,0.5,0.2,0.4,0.47,0.53,No
John Rudd,58.0,12.47,1.02,2.29,0.44,1.02,2.29,0.44,1.14,1.6,0.71,2.88,0.6,1.64,3.17,No
John Rudometkin,154.0,13.12,2.38,6.11,0.39,2.38,6.11,0.39,1.48,2.02,0.73,3.32,0.57,1.64,6.23,No
John Shumate,384.0,31.44,4.83,9.22,0.52,4.83,9.22,0.52,3.97,5.52,0.72,8.26,2.01,2.38,13.62,No
John Thompson,74.0,10.42,1.32,3.23,0.41,1.32,3.23,0.41,0.89,1.5,0.59,3.51,0.26,2.11,3.54,Yes
John Trapp,323.0,17.91,3.15,7.54,0.42,3.15,7.54,0.42,1.44,1.98,0.73,4.48,1.03,3.11,7.73,No
John Tresvant,926.0,22.93,3.6,7.96,0.45,3.6,7.96,0.45,2.4,3.49,0.69,6.6,1.51,3.21,9.6,No
John Tschogl,113.0,10.76,1.12,3.13,0.36,1.12,3.13,0.36,0.22,0.38,0.58,1.84,0.61,1.54,2.45,No
John Vallely,149.0,7.8,1.42,3.66,0.39,1.42,3.66,0.39,0.7,1.0,0.7,0.66,0.81,1.01,3.54,No
John Warren,303.0,16.27,2.49,5.79,0.43,2.49,5.79,0.43,1.01,1.22,0.83,2.27,1.86,2.0,5.99,No
John Wetzel,357.0,13.2,1.3,3.04,0.43,1.3,3.04,0.43,0.8,0.99,0.81,1.91,1.38,1.7,3.4,No
John Williamson,368.0,34.99,9.01,20.0,0.45,9.01,20.0,0.45,4.22,5.1,0.83,2.82,2.95,3.2,22.25,No
John Windsor,11.0,6.18,0.91,2.45,0.37,0.91,2.45,0.37,0.64,0.73,0.88,2.36,0.18,1.18,2.45,No
Johnny Austin,4.0,15.25,1.25,5.5,0.23,1.25,5.5,0.23,3.25,4.0,0.81,1.75,1.0,3.0,5.75,No
Johnny Baum,65.0,8.55,1.94,4.68,0.41,1.94,4.68,0.41,0.62,0.89,0.69,1.98,0.48,0.86,4.49,No
Johnny Cox,73.0,23.08,3.27,7.78,0.42,3.27,7.78,0.42,1.3,1.85,0.7,3.84,1.95,2.04,7.85,No
Johnny Davis,240.0,27.54,4.76,10.53,0.45,4.76,10.53,0.45,2.78,3.47,0.8,2.04,3.41,1.99,12.3,No
Johnny Egan,916.0,21.01,3.0,6.96,0.43,3.0,6.96,0.43,1.91,2.39,0.8,1.89,3.11,2.03,7.91,No
Johnny Ezersky,108.0,0.0,2.65,9.02,0.29,2.65,9.02,0.29,2.35,3.39,0.69,0.0,1.59,2.57,7.65,No
Johnny Green,1213.0,22.84,4.65,9.43,0.49,4.65,9.43,0.49,2.21,4.05,0.55,8.47,1.35,2.64,11.51,No
Johnny Horan,38.0,4.89,0.63,2.21,0.29,0.63,2.21,0.29,0.53,0.58,0.91,0.53,0.11,1.11,1.79,No
Johnny Jones,51.0,9.31,1.69,4.96,0.34,1.69,4.96,0.34,0.82,1.33,0.62,2.24,0.51,1.18,4.2,No
Johnny Macknowski,117.0,0.0,2.44,7.68,0.32,2.44,7.68,0.32,2.16,2.97,0.73,0.94,1.15,2.24,7.03,No
Johnny McCarthy,316.0,27.94,3.03,8.59,0.35,3.03,8.59,0.35,1.69,2.72,0.62,3.62,3.75,2.8,7.75,No
Johnny Neumann,146.0,14.32,2.45,6.03,0.41,2.45,6.03,0.41,0.9,1.32,0.68,1.08,2.12,2.0,5.79,No
Johnny Norlander,49.0,0.0,2.14,6.31,0.34,2.14,6.31,0.34,1.27,2.02,0.63,0.18,0.78,1.73,5.55,No
Johnny Orr,68.0,0.0,1.18,3.47,0.34,1.18,3.47,0.34,0.35,0.41,0.86,0.0,0.59,1.0,2.71,No
Johnny Payak,172.0,8.55,1.88,6.02,0.31,1.88,6.02,0.31,2.45,3.45,0.71,0.66,1.81,2.44,6.22,No
Jon McGlocklin,792.0,26.43,5.05,10.32,0.49,5.05,10.32,0.49,1.47,1.74,0.85,2.43,2.88,1.73,11.58,No
Julius Erving,234.0,34.92,8.59,17.29,0.5,8.59,17.29,0.5,4.61,5.89,0.78,7.44,4.03,2.84,21.8,Yes
Junior Bridgeman,327.0,24.14,5.48,11.5,0.48,5.48,11.5,0.48,2.08,2.51,0.83,3.97,2.14,2.57,13.05,No
Justus Thigpen,19.0,5.32,1.26,3.16,0.4,1.26,3.16,0.4,0.0,0.0,0.0,0.53,0.42,0.95,2.53,No
K.C. Jones,676.0,25.89,2.84,7.34,0.39,2.84,7.34,0.39,1.74,2.68,0.65,3.55,4.3,2.69,7.41,Yes
Kareem Abdul-Jabbar,773.0,41.1,11.83,21.47,0.55,11.83,21.47,0.55,4.98,7.06,0.71,14.83,4.45,3.1,28.64,Yes
Keith Erickson,766.0,24.6,3.93,9.04,0.44,3.93,9.04,0.44,1.6,2.08,0.77,4.5,2.6,2.72,9.47,No
Keith Herron,14.0,5.79,1.0,3.43,0.29,1.0,3.43,0.29,0.86,0.93,0.92,0.71,0.21,0.79,2.86,No
Keith Starr,17.0,3.82,0.35,1.41,0.25,0.35,1.41,0.25,0.12,0.12,1.0,0.59,0.35,0.65,0.82,No
Ken Boyd,6.0,4.17,1.17,2.17,0.54,1.17,2.17,0.54,0.83,1.83,0.45,0.83,0.33,0.33,3.17,No
Ken Charles,322.0,23.72,3.36,7.63,0.44,3.36,7.63,0.44,1.8,2.29,0.79,1.99,2.5,2.5,8.53,No
Ken Durrett,168.0,9.82,1.54,3.62,0.43,1.54,3.62,0.43,0.78,1.24,0.63,1.99,0.43,1.6,3.86,No
Ken Mayfield,13.0,4.92,1.31,3.54,0.37,1.31,3.54,0.37,0.23,0.23,1.0,0.62,0.31,1.38,2.85,No
Ken McBride,12.0,20.75,4.0,12.25,0.33,4.0,12.25,0.33,1.75,2.42,0.72,2.58,1.17,2.58,9.75,No
Ken Menke,6.0,0.0,1.0,2.83,0.35,1.0,2.83,0.35,0.5,1.33,0.38,0.0,1.17,1.17,2.5,No
Ken Murray,247.0,8.57,3.41,10.14,0.34,3.41,10.14,0.34,2.58,3.45,0.75,2.43,2.77,2.08,9.4,No
Ken Rohloff,2.0,3.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,No
Ken Wilburn,7.0,5.71,1.14,2.43,0.47,1.14,2.43,0.47,0.29,1.14,0.25,1.86,0.43,0.71,2.57,No
Kenny Carr,124.0,15.18,2.9,6.06,0.48,2.9,6.06,0.48,1.11,1.79,0.62,4.03,0.69,2.25,6.9,No
Kenny Higgs,68.0,15.44,1.87,4.1,0.46,1.87,4.1,0.46,1.25,1.63,0.77,1.5,2.07,2.59,4.99,No
Kenny McIntosh,236.0,20.5,2.19,6.15,0.36,2.19,6.15,0.36,0.73,1.25,0.59,3.93,0.96,1.84,5.1,No
Kenny Rollins,109.0,3.91,1.67,4.92,0.34,1.67,4.92,0.34,0.81,1.06,0.76,0.41,1.62,1.76,4.15,No
Kenny Sailors,177.0,0.0,3.9,11.36,0.34,3.9,11.36,0.34,3.34,4.61,0.72,1.36,2.99,3.58,11.15,No
Kenny Sears,606.0,26.51,4.33,9.45,0.46,4.33,9.45,0.46,4.22,5.12,0.82,7.17,1.55,2.64,12.88,No
Kent Benson,151.0,22.65,4.19,8.42,0.5,4.19,8.42,0.5,1.8,2.56,0.7,5.82,2.01,3.03,10.19,No
Kermit Washington,385.0,23.85,3.21,6.4,0.5,3.21,6.4,0.5,2.19,3.24,0.68,8.26,1.1,3.08,8.6,No
Kevin Grevey,278.0,20.82,4.41,10.05,0.44,4.41,10.05,0.44,1.97,2.55,0.77,2.73,1.45,2.07,10.79,No
Kevin Kunnert,525.0,21.76,3.73,7.79,0.48,3.73,7.79,0.48,0.96,1.4,0.68,7.21,1.36,3.48,8.41,No
Kevin Loughery,897.0,28.36,5.63,13.68,0.41,5.63,13.68,0.41,3.36,4.19,0.8,2.87,3.55,3.27,14.62,No
Kevin O'Shea,239.0,17.13,1.94,5.81,0.33,1.94,5.81,0.33,1.81,2.66,0.68,2.52,2.21,2.22,5.69,No
Kevin Porter,579.0,30.46,5.22,10.94,0.48,5.22,10.94,0.48,2.06,2.82,0.73,2.04,8.49,3.57,12.49,No
Kevin Restani,411.0,17.55,2.44,5.15,0.47,2.44,5.15,0.47,0.34,0.52,0.65,4.0,1.18,1.61,5.21,No
Kevin Stacom,408.0,12.94,2.16,5.27,0.41,2.16,5.27,0.41,0.7,0.91,0.76,1.44,1.54,0.98,5.03,No
Kim Anderson,21.0,10.67,1.14,3.67,0.31,1.14,3.67,0.31,0.71,1.33,0.54,2.14,0.71,2.0,3.0,No
Kim Hughes,218.0,18.44,1.4,3.19,0.44,1.4,3.19,0.44,0.21,0.66,0.32,5.22,0.96,3.15,3.02,No
Kleggie Hermsen,229.0,0.54,2.54,8.58,0.3,2.54,8.58,0.3,2.05,3.19,0.64,2.12,1.27,3.6,7.13,No
LaRue Martin,271.0,14.0,2.18,5.25,0.42,2.18,5.25,0.42,0.92,1.34,0.69,4.64,0.75,2.28,5.28,No
Lamar Green,360.0,17.91,2.16,5.02,0.43,2.16,5.02,0.43,0.85,1.31,0.65,6.38,0.73,2.51,5.18,No
Larry Cannon,19.0,17.63,2.58,6.68,0.39,2.58,6.68,0.39,1.0,1.47,0.68,1.89,2.74,2.53,6.16,No
Larry Comley,12.0,7.42,0.67,3.08,0.22,0.67,3.08,0.22,0.75,1.33,0.56,1.58,1.0,0.92,2.08,No
Larry Costello,706.0,30.03,4.38,10.01,0.44,4.38,10.01,0.44,3.44,4.09,0.84,3.83,4.55,3.29,12.21,No
Larry Fogle,2.0,7.0,0.5,2.5,0.2,0.5,2.5,0.2,0.0,0.0,0.0,1.5,0.0,2.0,1.0,No
Larry Foust,889.0,24.62,4.29,10.59,0.41,4.29,10.59,0.41,4.02,5.42,0.74,9.04,1.54,3.27,12.6,No
Larry Friend,44.0,12.93,1.68,5.14,0.33,1.68,5.14,0.33,0.61,0.93,0.66,2.41,1.07,1.23,3.98,No
Larry Hennessy,95.0,8.6,2.07,6.28,0.33,2.07,6.28,0.33,0.76,1.01,0.75,1.46,1.05,0.98,4.91,No
Larry Johnson,4.0,9.5,0.75,3.25,0.23,0.75,3.25,0.23,0.0,0.5,0.0,1.25,1.75,0.75,1.5,No
